track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_track_id,spotify_preview_url,spotify_album_cover_url,spotify_artist_image_url
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,7qEHsqek33rTcFNT9PFqLf,,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,https://i.scdn.co/image/ab6761610000e5ebea7538654040e553a7b0fc28
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,,,,https://i.scdn.co/image/ab6761610000e5eb2e862710857d2b3e1b5fb4f4
Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,4TNFLwe6DhtR3Wn1JKMqMJ,https://p.scdn.co/mp3-preview/41db29480f9d12734adf491d3b5dd4da1005047c?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,https://i.scdn.co/image/ab6761610000e5eb673f287fead1f6c83b9b68ea
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,,,,https://i.scdn.co/image/ab6761610000e5eb85a54675cc99eca02c11797a
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,1Lo0QY9cvc8sUB2vnIOxDT,https://p.scdn.co/mp3-preview/1dc0426c95058783e0fe1d70c41583ca98317108?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,https://i.scdn.co/image/ab6761610000e5eb5db6179b28f7e3654898b279
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,73RbfOTJIjHzi2pcVHjeHM,,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,https://i.scdn.co/image/ab6761610000e5eb5f9f729e1e5182fbf1030dbe
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,,,,https://i.scdn.co/image/ab6761610000e5eb87ff3d09a0fdb1fbdaed417b
Dont Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,59ZmeIz57cGU5Gp9omjlYB,,https://i.scdn.co/image/ab67616d0000b273727a2e497acecc218412dfe6,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,0eFMbKCRw8KByXyWBw8WO7,https://p.scdn.co/mp3-preview/af2a740e10a6956dedd7e7f66fd65d7166e9187f?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,https://i.scdn.co/image/ab6761610000e5eb40a7268dd742e5f63759b960
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,,,,https://i.scdn.co/image/ab67616d0000b273d092fc596478080bb0e06aea
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,6GGtHZgBycCgGBUhZo81xe,,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,4iZ4pt7kvcaH6Yo8UoZ4s2,https://p.scdn.co/mp3-preview/8c53920b5fd2c3178afa36cac9eec68b5ee9204a?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,https://i.scdn.co/image/ab6761610000e5eb7eb7f6371aad8e67e01f0a03
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,1Ist6PR2BZR3n2z2Y5R6S1,,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,5IAESfJjmOYu7cHyX557kz,https://p.scdn.co/mp3-preview/ef43da30a06fcad16898e9fff1cadd0ccf953fc9?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a
