track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_track_id,spotify_preview_url,spotify_album_cover_url,spotify_artist_image_url
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,,,,https://i.scdn.co/image/ab67616d0000b273ba9f82cc282b2de6cf7c0246
Frgil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,,,,https://i.scdn.co/image/ab6761610000e5eb68d4ccdc175f594122f1eee1
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,1p80LdxRV74UKvL8gnD7ky,,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,1hjRhYpWyqDpPahmSlUTlc,,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,368eeEO3Y2uZUQ6S5oIjcu,https://p.scdn.co/mp3-preview/63f6b66cfcc3d7bd396dcbe18d6e3dee05fdb956?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,https://i.scdn.co/image/ab6761610000e5eb1b85fbf9507041aab224336d
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,1haJsMtoBhHfvuM7XWuT3W,https://p.scdn.co/mp3-preview/f9df136c3a2d3c0c5424e2c4b75a303f35c08af5?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,https://i.scdn.co/image/ab6761610000e5ebb5ccab5d3dc10a08d89cbd76
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,0RiRZpuVRbi7oqRdSMwhQY,,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://i.scdn.co/image/ab6761610000e5ebf1be22786da29b0a1284c0a5
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,,,,https://i.scdn.co/image/ab6761610000e5ebc692afc666512dc946a7358f
See You Again,"Tyler The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,7KA4W4McWYRpgf0fWsJZWB,https://p.scdn.co/mp3-preview/c703198293891e3b276800ea6b187cf7951d3d7d?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,741UUVE2kuITl0c6zuqqbO,https://p.scdn.co/mp3-preview/f654928ccaa4e6a9fb09a6eb3f208383eccc12a9?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,https://i.scdn.co/image/ab6761610000e5eb03578c92e15089c645b794f5
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,1daDRI9ahBonbWD8YcxOIB,https://p.scdn.co/mp3-preview/4db8314199c0d49e95c786792ecd06eadae9f510?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,https://i.scdn.co/image/ab6761610000e5ebb5af3b38f053486ab0784dee
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,4h9wh7iOZ0GGn8QVp4RAOB,,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,2LBqCSwhJGcFQeTHMVGwy3,,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,7MXVkk9YMctZqd1Srtv4MB,,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,
